algoritmo,cenario,n_vertices,tempo_ms,memoria_mb,operacoes,custo_solucao,caminho
Força Bruta,Seca no MATOPIBA,5,0.0385,0.00148,20,2.7,1700000 -> 1700001 -> 1700099
Dijkstra,Seca no MATOPIBA,5,0.0165,0.000992,6,2.7,1700000 -> 1700001 -> 1700099
Força Bruta,Seca no MATOPIBA,8,0.1036,0.002045,122,2.7,1700000 -> 1700001 -> 1700099
Dijkstra,Seca no MATOPIBA,8,0.0182,0.001755,14,2.7,1700000 -> 1700001 -> 1700099
Força Bruta,Seca no MATOPIBA,10,0.342,0.00676,334,2.7,1700000 -> 1700001 -> 1700099
Dijkstra,Seca no MATOPIBA,10,0.1412,0.00206,17,2.7,1700000 -> 1700001 -> 1700099
Força Bruta,Seca no MATOPIBA,12,0.9525,0.013802,742,2.7,1700000 -> 1700001 -> 1700099
Dijkstra,Seca no MATOPIBA,12,0.0348,0.002693,22,2.7,1700000 -> 1700001 -> 1700099
Dijkstra,Seca no MATOPIBA,20,0.0463,0.002914,40,2.7,1700000 -> 1700001 -> 1700099
Dijkstra,Seca no MATOPIBA,50,0.0833,0.008499,108,2.7,1700000 -> 1700001 -> 1700099
Dijkstra,Seca no MATOPIBA,100,0.1578,0.014671,221,2.7,1700000 -> 1700001 -> 1700099
