id_municipio,nome,indice_risco,custo_atendimento,populacao
1700000,Município MATOPIBA 1,0.35,900,15000
1700001,Município MATOPIBA 2,0.52,1037,22919
1700002,Município MATOPIBA 3,0.69,1174,30838
1700003,Município MATOPIBA 4,0.86,1311,38757
1700004,Município MATOPIBA 5,0.43,1448,46676
1700005,Município MATOPIBA 6,0.6,1585,54595
1700006,Município MATOPIBA 7,0.77,1722,62514
1700007,Município MATOPIBA 8,0.94,1859,70433
1700008,Município MATOPIBA 9,0.51,1996,78352
1700009,Município MATOPIBA 10,0.68,2133,86271
1700010,Município MATOPIBA 11,0.85,2270,94190
1700011,Município MATOPIBA 12,0.42,2407,102109
1700012,Município MATOPIBA 13,0.59,2544,110028
1700013,Município MATOPIBA 14,0.76,2681,117947
1700014,Município MATOPIBA 15,0.93,1018,125866
1700015,Município MATOPIBA 16,0.5,1155,133785
1700016,Município MATOPIBA 17,0.67,1292,141704
1700017,Município MATOPIBA 18,0.84,1429,149623
1700018,Município MATOPIBA 19,0.41,1566,157542
1700019,Município MATOPIBA 20,0.58,1703,165461
1700020,Município MATOPIBA 21,0.75,1840,173380
1700021,Município MATOPIBA 22,0.92,1977,181299
1700022,Município MATOPIBA 23,0.49,2114,189218
1700023,Município MATOPIBA 24,0.66,2251,197137
1700024,Município MATOPIBA 25,0.83,2388,205056
1700025,Município MATOPIBA 26,0.4,2525,212975
1700026,Município MATOPIBA 27,0.57,2662,220894
1700027,Município MATOPIBA 28,0.74,999,228813
1700028,Município MATOPIBA 29,0.91,1136,236732
1700029,Município MATOPIBA 30,0.48,1273,244651
1700030,Município MATOPIBA 31,0.65,1410,252570
1700031,Município MATOPIBA 32,0.82,1547,260489
1700032,Município MATOPIBA 33,0.39,1684,268408
1700033,Município MATOPIBA 34,0.56,1821,276327
1700034,Município MATOPIBA 35,0.73,1958,284246
1700035,Município MATOPIBA 36,0.9,2095,292165
1700036,Município MATOPIBA 37,0.47,2232,300084
1700037,Município MATOPIBA 38,0.64,2369,308003
1700038,Município MATOPIBA 39,0.81,2506,315922
1700039,Município MATOPIBA 40,0.38,2643,323841
1700040,Município MATOPIBA 41,0.55,980,331760
1700041,Município MATOPIBA 42,0.72,1117,339679
1700042,Município MATOPIBA 43,0.89,1254,347598
1700043,Município MATOPIBA 44,0.46,1391,355517
1700044,Município MATOPIBA 45,0.63,1528,363436
1700045,Município MATOPIBA 46,0.8,1665,371355
1700046,Município MATOPIBA 47,0.37,1802,379274
1700047,Município MATOPIBA 48,0.54,1939,387193
1700048,Município MATOPIBA 49,0.71,2076,395112
1700049,Município MATOPIBA 50,0.88,2213,403031
1700050,Município MATOPIBA 51,0.45,2350,410950
1700051,Município MATOPIBA 52,0.62,2487,418869
1700052,Município MATOPIBA 53,0.79,2624,426788
1700053,Município MATOPIBA 54,0.36,961,434707
1700054,Município MATOPIBA 55,0.53,1098,442626
1700055,Município MATOPIBA 56,0.7,1235,450545
1700056,Município MATOPIBA 57,0.87,1372,458464
1700057,Município MATOPIBA 58,0.44,1509,466383
1700058,Município MATOPIBA 59,0.61,1646,474302
1700059,Município MATOPIBA 60,0.78,1783,482221
1700060,Município MATOPIBA 61,0.35,1920,490140
1700061,Município MATOPIBA 62,0.52,2057,498059
1700062,Município MATOPIBA 63,0.69,2194,505978
1700063,Município MATOPIBA 64,0.86,2331,513897
1700064,Município MATOPIBA 65,0.43,2468,521816
1700065,Município MATOPIBA 66,0.6,2605,529735
1700066,Município MATOPIBA 67,0.77,942,537654
1700067,Município MATOPIBA 68,0.94,1079,545573
1700068,Município MATOPIBA 69,0.51,1216,553492
1700069,Município MATOPIBA 70,0.68,1353,561411
1700070,Município MATOPIBA 71,0.85,1490,569330
1700071,Município MATOPIBA 72,0.42,1627,577249
1700072,Município MATOPIBA 73,0.59,1764,585168
1700073,Município MATOPIBA 74,0.76,1901,593087
1700074,Município MATOPIBA 75,0.93,2038,601006
1700075,Município MATOPIBA 76,0.5,2175,608925
1700076,Município MATOPIBA 77,0.67,2312,616844
1700077,Município MATOPIBA 78,0.84,2449,624763
1700078,Município MATOPIBA 79,0.41,2586,632682
1700079,Município MATOPIBA 80,0.58,923,640601
1700080,Município MATOPIBA 81,0.75,1060,648520
1700081,Município MATOPIBA 82,0.92,1197,656439
1700082,Município MATOPIBA 83,0.49,1334,664358
1700083,Município MATOPIBA 84,0.66,1471,672277
1700084,Município MATOPIBA 85,0.83,1608,680196
1700085,Município MATOPIBA 86,0.4,1745,688115
1700086,Município MATOPIBA 87,0.57,1882,696034
1700087,Município MATOPIBA 88,0.74,2019,703953
1700088,Município MATOPIBA 89,0.91,2156,711872
1700089,Município MATOPIBA 90,0.48,2293,719791
1700090,Município MATOPIBA 91,0.65,2430,727710
1700091,Município MATOPIBA 92,0.82,2567,735629
1700092,Município MATOPIBA 93,0.39,904,743548
1700093,Município MATOPIBA 94,0.56,1041,751467
1700094,Município MATOPIBA 95,0.73,1178,759386
1700095,Município MATOPIBA 96,0.9,1315,767305
1700096,Município MATOPIBA 97,0.47,1452,775224
1700097,Município MATOPIBA 98,0.64,1589,783143
1700098,Município MATOPIBA 99,0.81,1726,791062
1700099,Município MATOPIBA 100,0.38,1863,798981
