id_municipio,nome,indice_risco,custo_atendimento,populacao
4310000,Municipio RS 1,0.35,900,15000
4310001,Municipio RS 2,0.52,1037,22919
4310002,Municipio RS 3,0.69,1174,30838
4310003,Municipio RS 4,0.86,1311,38757
4310004,Municipio RS 5,0.43,1448,46676
4310005,Municipio RS 6,0.6,1585,54595
4310006,Municipio RS 7,0.77,1722,62514
4310007,Municipio RS 8,0.94,1859,70433
4310008,Municipio RS 9,0.51,1996,78352
4310009,Municipio RS 10,0.68,2133,86271
4310010,Municipio RS 11,0.85,2270,94190
4310011,Municipio RS 12,0.42,2407,102109
4310012,Municipio RS 13,0.59,2544,110028
4310013,Municipio RS 14,0.76,2681,117947
4310014,Municipio RS 15,0.93,1018,125866
4310015,Municipio RS 16,0.5,1155,133785
4310016,Municipio RS 17,0.67,1292,141704
4310017,Municipio RS 18,0.84,1429,149623
4310018,Municipio RS 19,0.41,1566,157542
4310019,Municipio RS 20,0.58,1703,165461
4310020,Municipio RS 21,0.75,1840,173380
4310021,Municipio RS 22,0.92,1977,181299
4310022,Municipio RS 23,0.49,2114,189218
4310023,Municipio RS 24,0.66,2251,197137
4310024,Municipio RS 25,0.83,2388,205056
4310025,Municipio RS 26,0.4,2525,212975
4310026,Municipio RS 27,0.57,2662,220894
4310027,Municipio RS 28,0.74,999,228813
4310028,Municipio RS 29,0.91,1136,236732
4310029,Municipio RS 30,0.48,1273,244651
4310030,Municipio RS 31,0.65,1410,252570
4310031,Municipio RS 32,0.82,1547,260489
4310032,Municipio RS 33,0.39,1684,268408
4310033,Municipio RS 34,0.56,1821,276327
4310034,Municipio RS 35,0.73,1958,284246
4310035,Municipio RS 36,0.9,2095,292165
4310036,Municipio RS 37,0.47,2232,300084
4310037,Municipio RS 38,0.64,2369,308003
4310038,Municipio RS 39,0.81,2506,315922
4310039,Municipio RS 40,0.38,2643,323841
4310040,Municipio RS 41,0.55,980,331760
4310041,Municipio RS 42,0.72,1117,339679
4310042,Municipio RS 43,0.89,1254,347598
4310043,Municipio RS 44,0.46,1391,355517
4310044,Municipio RS 45,0.63,1528,363436
4310045,Municipio RS 46,0.8,1665,371355
4310046,Municipio RS 47,0.37,1802,379274
4310047,Municipio RS 48,0.54,1939,387193
4310048,Municipio RS 49,0.71,2076,395112
4310049,Municipio RS 50,0.88,2213,403031
4310050,Municipio RS 51,0.45,2350,410950
4310051,Municipio RS 52,0.62,2487,418869
4310052,Municipio RS 53,0.79,2624,426788
4310053,Municipio RS 54,0.36,961,434707
4310054,Municipio RS 55,0.53,1098,442626
4310055,Municipio RS 56,0.7,1235,450545
4310056,Municipio RS 57,0.87,1372,458464
4310057,Municipio RS 58,0.44,1509,466383
4310058,Municipio RS 59,0.61,1646,474302
4310059,Municipio RS 60,0.78,1783,482221
4310060,Municipio RS 61,0.35,1920,490140
4310061,Municipio RS 62,0.52,2057,498059
4310062,Municipio RS 63,0.69,2194,505978
4310063,Municipio RS 64,0.86,2331,513897
4310064,Municipio RS 65,0.43,2468,521816
4310065,Municipio RS 66,0.6,2605,529735
4310066,Municipio RS 67,0.77,942,537654
4310067,Municipio RS 68,0.94,1079,545573
4310068,Municipio RS 69,0.51,1216,553492
4310069,Municipio RS 70,0.68,1353,561411
4310070,Municipio RS 71,0.85,1490,569330
4310071,Municipio RS 72,0.42,1627,577249
4310072,Municipio RS 73,0.59,1764,585168
4310073,Municipio RS 74,0.76,1901,593087
4310074,Municipio RS 75,0.93,2038,601006
4310075,Municipio RS 76,0.5,2175,608925
4310076,Municipio RS 77,0.67,2312,616844
4310077,Municipio RS 78,0.84,2449,624763
4310078,Municipio RS 79,0.41,2586,632682
4310079,Municipio RS 80,0.58,923,640601
4310080,Municipio RS 81,0.75,1060,648520
4310081,Municipio RS 82,0.92,1197,656439
4310082,Municipio RS 83,0.49,1334,664358
4310083,Municipio RS 84,0.66,1471,672277
4310084,Municipio RS 85,0.83,1608,680196
4310085,Municipio RS 86,0.4,1745,688115
4310086,Municipio RS 87,0.57,1882,696034
4310087,Municipio RS 88,0.74,2019,703953
4310088,Municipio RS 89,0.91,2156,711872
4310089,Municipio RS 90,0.48,2293,719791
4310090,Municipio RS 91,0.65,2430,727710
4310091,Municipio RS 92,0.82,2567,735629
4310092,Municipio RS 93,0.39,904,743548
4310093,Municipio RS 94,0.56,1041,751467
4310094,Municipio RS 95,0.73,1178,759386
4310095,Municipio RS 96,0.9,1315,767305
4310096,Municipio RS 97,0.47,1452,775224
4310097,Municipio RS 98,0.64,1589,783143
4310098,Municipio RS 99,0.81,1726,791062
4310099,Municipio RS 100,0.38,1863,798981
