origem,destino,peso
1700000,1700001,1.0
1700001,1700002,2.1
1700002,1700003,3.2
1700003,1700004,1.3
1700004,1700005,2.4
1700005,1700006,3.5
1700006,1700007,1.6
1700007,1700008,2.7
1700008,1700009,3.8
1700009,1700010,1.9
1700010,1700011,3.0
1700011,1700012,1.1
1700012,1700013,2.2
1700013,1700014,3.3
1700014,1700015,1.4
1700015,1700016,2.5
1700016,1700017,3.6
1700017,1700018,1.7
1700018,1700019,2.8
1700019,1700020,3.9
1700020,1700021,2.0
1700021,1700022,3.1
1700022,1700023,1.2
1700023,1700024,2.3
1700024,1700025,3.4
1700025,1700026,1.5
1700026,1700027,2.6
1700027,1700028,3.7
1700028,1700029,1.8
1700029,1700030,2.9
1700030,1700031,1.0
1700031,1700032,2.1
1700032,1700033,3.2
1700033,1700034,1.3
1700034,1700035,2.4
1700035,1700036,3.5
1700036,1700037,1.6
1700037,1700038,2.7
1700038,1700039,3.8
1700039,1700040,1.9
1700040,1700041,3.0
1700041,1700042,1.1
1700042,1700043,2.2
1700043,1700044,3.3
1700044,1700045,1.4
1700045,1700046,2.5
1700046,1700047,3.6
1700047,1700048,1.7
1700048,1700049,2.8
1700049,1700050,3.9
1700050,1700051,2.0
1700051,1700052,3.1
1700052,1700053,1.2
1700053,1700054,2.3
1700054,1700055,3.4
1700055,1700056,1.5
1700056,1700057,2.6
1700057,1700058,3.7
1700058,1700059,1.8
1700059,1700060,2.9
1700060,1700061,1.0
1700061,1700062,2.1
1700062,1700063,3.2
1700063,1700064,1.3
1700064,1700065,2.4
1700065,1700066,3.5
1700066,1700067,1.6
1700067,1700068,2.7
1700068,1700069,3.8
1700069,1700070,1.9
1700070,1700071,3.0
1700071,1700072,1.1
1700072,1700073,2.2
1700073,1700074,3.3
1700074,1700075,1.4
1700075,1700076,2.5
1700076,1700077,3.6
1700077,1700078,1.7
1700078,1700079,2.8
1700079,1700080,3.9
1700080,1700081,2.0
1700081,1700082,3.1
1700082,1700083,1.2
1700083,1700084,2.3
1700084,1700085,3.4
1700085,1700086,1.5
1700086,1700087,2.6
1700087,1700088,3.7
1700088,1700089,1.8
1700089,1700090,2.9
1700090,1700091,1.0
1700091,1700092,2.1
1700092,1700093,3.2
1700093,1700094,1.3
1700094,1700095,2.4
1700095,1700096,3.5
1700096,1700097,1.6
1700097,1700098,2.7
1700098,1700099,3.8
1700001,1700099,1.7
1700000,1700002,2.9
1700002,1700099,2.2
1700000,1700003,3.6
1700003,1700099,2.7
1700000,1700004,4.3
1700004,1700099,3.2
1700000,1700005,1.5
1700005,1700099,3.7
1700000,1700006,2.2
1700006,1700099,4.2
1700000,1700007,2.9
1700007,1700099,1.5
1700000,1700008,3.6
1700008,1700099,2.0
1700000,1700009,4.3
1700009,1700099,2.5
1700000,1700010,1.5
1700010,1700099,3.0
1700000,1700011,2.2
1700011,1700099,3.5
1700000,1700012,2.9
1700012,1700099,4.0
1700000,1700013,3.6
1700013,1700099,1.3
1700000,1700014,4.3
1700014,1700099,1.8
1700000,1700015,1.5
1700015,1700099,2.3
1700000,1700016,2.2
1700016,1700099,2.8
1700000,1700017,2.9
1700017,1700099,3.3
1700000,1700018,3.6
1700018,1700099,3.8
1700000,1700019,4.3
1700019,1700099,4.3
1700000,1700020,1.5
1700020,1700099,1.6
1700000,1700021,2.2
1700021,1700099,2.1
1700000,1700022,2.9
1700022,1700099,2.6
1700000,1700023,3.6
1700023,1700099,3.1
1700000,1700024,4.3
1700024,1700099,3.6
1700000,1700025,1.5
1700025,1700099,4.1
1700000,1700026,2.2
1700026,1700099,1.4
1700000,1700027,2.9
1700027,1700099,1.9
1700000,1700028,3.6
1700028,1700099,2.4
1700000,1700029,4.3
1700029,1700099,2.9
1700000,1700030,1.5
1700030,1700099,3.4
1700000,1700031,2.2
1700031,1700099,3.9
1700000,1700032,2.9
1700032,1700099,1.2
1700000,1700033,3.6
1700033,1700099,1.7
1700000,1700034,4.3
1700034,1700099,2.2
1700000,1700035,1.5
1700035,1700099,2.7
1700000,1700036,2.2
1700036,1700099,3.2
1700000,1700037,2.9
1700037,1700099,3.7
1700000,1700038,3.6
1700038,1700099,4.2
1700000,1700039,4.3
1700039,1700099,1.5
1700000,1700040,1.5
1700040,1700099,2.0
1700000,1700041,2.2
1700041,1700099,2.5
1700000,1700042,2.9
1700042,1700099,3.0
1700000,1700043,3.6
1700043,1700099,3.5
1700000,1700044,4.3
1700044,1700099,4.0
1700000,1700045,1.5
1700045,1700099,1.3
1700000,1700046,2.2
1700046,1700099,1.8
1700000,1700047,2.9
1700047,1700099,2.3
1700000,1700048,3.6
1700048,1700099,2.8
1700000,1700049,4.3
1700049,1700099,3.3
1700000,1700050,1.5
1700050,1700099,3.8
1700000,1700051,2.2
1700051,1700099,4.3
1700000,1700052,2.9
1700052,1700099,1.6
1700000,1700053,3.6
1700053,1700099,2.1
1700000,1700054,4.3
1700054,1700099,2.6
1700000,1700055,1.5
1700055,1700099,3.1
1700000,1700056,2.2
1700056,1700099,3.6
1700000,1700057,2.9
1700057,1700099,4.1
1700000,1700058,3.6
1700058,1700099,1.4
1700000,1700059,4.3
1700059,1700099,1.9
1700000,1700060,1.5
1700060,1700099,2.4
1700000,1700061,2.2
1700061,1700099,2.9
1700000,1700062,2.9
1700062,1700099,3.4
1700000,1700063,3.6
1700063,1700099,3.9
1700000,1700064,4.3
1700064,1700099,1.2
1700000,1700065,1.5
1700065,1700099,1.7
1700000,1700066,2.2
1700066,1700099,2.2
1700000,1700067,2.9
1700067,1700099,2.7
1700000,1700068,3.6
1700068,1700099,3.2
1700000,1700069,4.3
1700069,1700099,3.7
1700000,1700070,1.5
1700070,1700099,4.2
1700000,1700071,2.2
1700071,1700099,1.5
1700000,1700072,2.9
1700072,1700099,2.0
1700000,1700073,3.6
1700073,1700099,2.5
1700000,1700074,4.3
1700074,1700099,3.0
1700000,1700075,1.5
1700075,1700099,3.5
1700000,1700076,2.2
1700076,1700099,4.0
1700000,1700077,2.9
1700077,1700099,1.3
1700000,1700078,3.6
1700078,1700099,1.8
1700000,1700079,4.3
1700079,1700099,2.3
1700000,1700080,1.5
1700080,1700099,2.8
1700000,1700081,2.2
1700081,1700099,3.3
1700000,1700082,2.9
1700082,1700099,3.8
1700000,1700083,3.6
1700083,1700099,4.3
1700000,1700084,4.3
1700084,1700099,1.6
1700000,1700085,1.5
1700085,1700099,2.1
1700000,1700086,2.2
1700086,1700099,2.6
1700000,1700087,2.9
1700087,1700099,3.1
1700000,1700088,3.6
1700088,1700099,3.6
1700000,1700089,4.3
1700089,1700099,4.1
1700000,1700090,1.5
1700090,1700099,1.4
1700000,1700091,2.2
1700091,1700099,1.9
1700000,1700092,2.9
1700092,1700099,2.4
1700000,1700093,3.6
1700093,1700099,2.9
1700000,1700094,4.3
1700094,1700099,3.4
1700000,1700095,1.5
1700095,1700099,3.9
1700000,1700096,2.2
1700096,1700099,1.2
1700000,1700097,2.9
1700097,1700099,1.7
1700000,1700098,3.6
1700001,1700004,3.3
1700004,1700007,2.2
1700007,1700010,3.6
1700010,1700013,2.5
1700013,1700016,3.9
1700016,1700019,2.8
1700019,1700022,4.2
1700022,1700025,3.1
1700025,1700028,2.0
1700028,1700031,3.4
1700031,1700034,2.3
1700034,1700037,3.7
1700037,1700040,2.6
1700040,1700043,4.0
1700043,1700046,2.9
1700046,1700049,4.3
1700049,1700052,3.2
1700052,1700055,2.1
1700055,1700058,3.5
1700058,1700061,2.4
1700061,1700064,3.8
1700064,1700067,2.7
1700067,1700070,4.1
1700070,1700073,3.0
1700073,1700076,4.4
1700076,1700079,3.3
1700079,1700082,2.2
1700082,1700085,3.6
1700085,1700088,2.5
1700088,1700091,3.9
1700091,1700094,2.8
1700094,1700097,4.2
1700000,1700099,8.5
