origem,destino,peso
4310000,4310001,1.0
4310001,4310002,2.1
4310002,4310003,3.2
4310003,4310004,1.3
4310004,4310005,2.4
4310005,4310006,3.5
4310006,4310007,1.6
4310007,4310008,2.7
4310008,4310009,3.8
4310009,4310010,1.9
4310010,4310011,3.0
4310011,4310012,1.1
4310012,4310013,2.2
4310013,4310014,3.3
4310014,4310015,1.4
4310015,4310016,2.5
4310016,4310017,3.6
4310017,4310018,1.7
4310018,4310019,2.8
4310019,4310020,3.9
4310020,4310021,2.0
4310021,4310022,3.1
4310022,4310023,1.2
4310023,4310024,2.3
4310024,4310025,3.4
4310025,4310026,1.5
4310026,4310027,2.6
4310027,4310028,3.7
4310028,4310029,1.8
4310029,4310030,2.9
4310030,4310031,1.0
4310031,4310032,2.1
4310032,4310033,3.2
4310033,4310034,1.3
4310034,4310035,2.4
4310035,4310036,3.5
4310036,4310037,1.6
4310037,4310038,2.7
4310038,4310039,3.8
4310039,4310040,1.9
4310040,4310041,3.0
4310041,4310042,1.1
4310042,4310043,2.2
4310043,4310044,3.3
4310044,4310045,1.4
4310045,4310046,2.5
4310046,4310047,3.6
4310047,4310048,1.7
4310048,4310049,2.8
4310049,4310050,3.9
4310050,4310051,2.0
4310051,4310052,3.1
4310052,4310053,1.2
4310053,4310054,2.3
4310054,4310055,3.4
4310055,4310056,1.5
4310056,4310057,2.6
4310057,4310058,3.7
4310058,4310059,1.8
4310059,4310060,2.9
4310060,4310061,1.0
4310061,4310062,2.1
4310062,4310063,3.2
4310063,4310064,1.3
4310064,4310065,2.4
4310065,4310066,3.5
4310066,4310067,1.6
4310067,4310068,2.7
4310068,4310069,3.8
4310069,4310070,1.9
4310070,4310071,3.0
4310071,4310072,1.1
4310072,4310073,2.2
4310073,4310074,3.3
4310074,4310075,1.4
4310075,4310076,2.5
4310076,4310077,3.6
4310077,4310078,1.7
4310078,4310079,2.8
4310079,4310080,3.9
4310080,4310081,2.0
4310081,4310082,3.1
4310082,4310083,1.2
4310083,4310084,2.3
4310084,4310085,3.4
4310085,4310086,1.5
4310086,4310087,2.6
4310087,4310088,3.7
4310088,4310089,1.8
4310089,4310090,2.9
4310090,4310091,1.0
4310091,4310092,2.1
4310092,4310093,3.2
4310093,4310094,1.3
4310094,4310095,2.4
4310095,4310096,3.5
4310096,4310097,1.6
4310097,4310098,2.7
4310098,4310099,3.8
4310001,4310099,1.7
4310000,4310002,2.9
4310002,4310099,2.2
4310000,4310003,3.6
4310003,4310099,2.7
4310000,4310004,4.3
4310004,4310099,3.2
4310000,4310005,1.5
4310005,4310099,3.7
4310000,4310006,2.2
4310006,4310099,4.2
4310000,4310007,2.9
4310007,4310099,1.5
4310000,4310008,3.6
4310008,4310099,2.0
4310000,4310009,4.3
4310009,4310099,2.5
4310000,4310010,1.5
4310010,4310099,3.0
4310000,4310011,2.2
4310011,4310099,3.5
4310000,4310012,2.9
4310012,4310099,4.0
4310000,4310013,3.6
4310013,4310099,1.3
4310000,4310014,4.3
4310014,4310099,1.8
4310000,4310015,1.5
4310015,4310099,2.3
4310000,4310016,2.2
4310016,4310099,2.8
4310000,4310017,2.9
4310017,4310099,3.3
4310000,4310018,3.6
4310018,4310099,3.8
4310000,4310019,4.3
4310019,4310099,4.3
4310000,4310020,1.5
4310020,4310099,1.6
4310000,4310021,2.2
4310021,4310099,2.1
4310000,4310022,2.9
4310022,4310099,2.6
4310000,4310023,3.6
4310023,4310099,3.1
4310000,4310024,4.3
4310024,4310099,3.6
4310000,4310025,1.5
4310025,4310099,4.1
4310000,4310026,2.2
4310026,4310099,1.4
4310000,4310027,2.9
4310027,4310099,1.9
4310000,4310028,3.6
4310028,4310099,2.4
4310000,4310029,4.3
4310029,4310099,2.9
4310000,4310030,1.5
4310030,4310099,3.4
4310000,4310031,2.2
4310031,4310099,3.9
4310000,4310032,2.9
4310032,4310099,1.2
4310000,4310033,3.6
4310033,4310099,1.7
4310000,4310034,4.3
4310034,4310099,2.2
4310000,4310035,1.5
4310035,4310099,2.7
4310000,4310036,2.2
4310036,4310099,3.2
4310000,4310037,2.9
4310037,4310099,3.7
4310000,4310038,3.6
4310038,4310099,4.2
4310000,4310039,4.3
4310039,4310099,1.5
4310000,4310040,1.5
4310040,4310099,2.0
4310000,4310041,2.2
4310041,4310099,2.5
4310000,4310042,2.9
4310042,4310099,3.0
4310000,4310043,3.6
4310043,4310099,3.5
4310000,4310044,4.3
4310044,4310099,4.0
4310000,4310045,1.5
4310045,4310099,1.3
4310000,4310046,2.2
4310046,4310099,1.8
4310000,4310047,2.9
4310047,4310099,2.3
4310000,4310048,3.6
4310048,4310099,2.8
4310000,4310049,4.3
4310049,4310099,3.3
4310000,4310050,1.5
4310050,4310099,3.8
4310000,4310051,2.2
4310051,4310099,4.3
4310000,4310052,2.9
4310052,4310099,1.6
4310000,4310053,3.6
4310053,4310099,2.1
4310000,4310054,4.3
4310054,4310099,2.6
4310000,4310055,1.5
4310055,4310099,3.1
4310000,4310056,2.2
4310056,4310099,3.6
4310000,4310057,2.9
4310057,4310099,4.1
4310000,4310058,3.6
4310058,4310099,1.4
4310000,4310059,4.3
4310059,4310099,1.9
4310000,4310060,1.5
4310060,4310099,2.4
4310000,4310061,2.2
4310061,4310099,2.9
4310000,4310062,2.9
4310062,4310099,3.4
4310000,4310063,3.6
4310063,4310099,3.9
4310000,4310064,4.3
4310064,4310099,1.2
4310000,4310065,1.5
4310065,4310099,1.7
4310000,4310066,2.2
4310066,4310099,2.2
4310000,4310067,2.9
4310067,4310099,2.7
4310000,4310068,3.6
4310068,4310099,3.2
4310000,4310069,4.3
4310069,4310099,3.7
4310000,4310070,1.5
4310070,4310099,4.2
4310000,4310071,2.2
4310071,4310099,1.5
4310000,4310072,2.9
4310072,4310099,2.0
4310000,4310073,3.6
4310073,4310099,2.5
4310000,4310074,4.3
4310074,4310099,3.0
4310000,4310075,1.5
4310075,4310099,3.5
4310000,4310076,2.2
4310076,4310099,4.0
4310000,4310077,2.9
4310077,4310099,1.3
4310000,4310078,3.6
4310078,4310099,1.8
4310000,4310079,4.3
4310079,4310099,2.3
4310000,4310080,1.5
4310080,4310099,2.8
4310000,4310081,2.2
4310081,4310099,3.3
4310000,4310082,2.9
4310082,4310099,3.8
4310000,4310083,3.6
4310083,4310099,4.3
4310000,4310084,4.3
4310084,4310099,1.6
4310000,4310085,1.5
4310085,4310099,2.1
4310000,4310086,2.2
4310086,4310099,2.6
4310000,4310087,2.9
4310087,4310099,3.1
4310000,4310088,3.6
4310088,4310099,3.6
4310000,4310089,4.3
4310089,4310099,4.1
4310000,4310090,1.5
4310090,4310099,1.4
4310000,4310091,2.2
4310091,4310099,1.9
4310000,4310092,2.9
4310092,4310099,2.4
4310000,4310093,3.6
4310093,4310099,2.9
4310000,4310094,4.3
4310094,4310099,3.4
4310000,4310095,1.5
4310095,4310099,3.9
4310000,4310096,2.2
4310096,4310099,1.2
4310000,4310097,2.9
4310097,4310099,1.7
4310000,4310098,3.6
4310001,4310004,3.3
4310004,4310007,2.2
4310007,4310010,3.6
4310010,4310013,2.5
4310013,4310016,3.9
4310016,4310019,2.8
4310019,4310022,4.2
4310022,4310025,3.1
4310025,4310028,2.0
4310028,4310031,3.4
4310031,4310034,2.3
4310034,4310037,3.7
4310037,4310040,2.6
4310040,4310043,4.0
4310043,4310046,2.9
4310046,4310049,4.3
4310049,4310052,3.2
4310052,4310055,2.1
4310055,4310058,3.5
4310058,4310061,2.4
4310061,4310064,3.8
4310064,4310067,2.7
4310067,4310070,4.1
4310070,4310073,3.0
4310073,4310076,4.4
4310076,4310079,3.3
4310079,4310082,2.2
4310082,4310085,3.6
4310085,4310088,2.5
4310088,4310091,3.9
4310091,4310094,2.8
4310094,4310097,4.2
4310000,4310099,8.5
